CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1957073.cif,1147,6e-05,18.105
450198.cif,479,6e-05,2.888
260026.cif,313,6e-05,1.201
532175.cif,313,6e-05,1.227
1816791.cif,313,6e-05,1.235
