filename,error_message
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150761.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1535656.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222549.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222548.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150760.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1535133.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633288.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633289.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1102555.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1632424.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150763.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150773.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150767.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1627993.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1535137.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150766.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150772.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150758.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150764.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150770.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150771.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150765.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150759.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1627048.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1726378.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1430159.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1430158.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1825113.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1711694.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1711695.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1825115.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150754.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150769.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150755.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150757.cif,Different elements found in atom site and label
