CIF file,Number of atoms in supercell,Min distance,Processing time (s)
URhIn.cif,206,N/A,0.008
RhSb2.cif,180,N/A,0.004
Al3Ni.cif,272,N/A,0.003
HoPt.cif,152,N/A,0.002
ThSb.cif,62,N/A,0.002
