Filename,CIF,Compound,Number of atoms,Execution time (s),Total_time (s)
1942834 copy.cif,1942834,Ru0.5Pd0.5,120,0.373,116.573
1822134.cif,1822134,Fe0.5Ni0.5,120,0.357,116.93
261116.cif,261116,Co0.5Pt0.5,120,0.355,117.285
1822518.cif,1822518,Fe0.5Pt0.5,120,0.384,117.67
1924155.cif,1924155,Fe0.5Pt0.5,120,0.369,118.039
458686.cif,458686,Th0.5Ce0.5,120,0.368,118.406
1923821.cif,1923821,Pt0.5Sn0.5,120,0.397,118.803
250192.cif,250192,Co0.5Pt0.5,120,0.359,119.162
1244345 copy.cif,1244345,Ru0.5Pt0.5,120,0.365,119.527
261616.cif,261616,Ir0.5Ni0.5,120,0.389,119.916
558347.cif,558347,Fe0.5Ni0.5,120,0.369,120.285
1014315.cif,1014315,Ir0.5Pt0.5,120,0.358,120.642
534506.cif,534506,Fe0.5Pd0.5,120,0.376,121.018
1212325.cif,1212325,Fe0.5Ni0.5,120,0.358,121.376
1822151.cif,1822151,Fe0.5Pd0.5,120,0.356,121.733
1965540.cif,1965540,Co0.50Ni0.50,120,0.381,122.114
261615.cif,261615,Rh0.5Ni0.5,120,0.355,122.469
Al6Ge5 copy.cif,1301569,Al6Ge5,1053,32.892,155.36
261239.cif,261239,Co0.5Ir0.5,120,0.557,155.918
530577.cif,530577,Fe0.5Rh0.5,120,0.536,156.453
1129087.cif,1129087,Fe0.5Pt0.5,120,0.383,156.837
1932226.cif,1932226,Co0.5Pt0.5,120,0.368,157.205
454220.cif,454220,Y0.5Th0.5,120,0.418,157.623
261822.cif,261822,Ir0.5Rh0.5,120,0.364,157.987
528506.cif,528506,Th0.5Ce0.5,120,0.366,158.353
250631.cif,250631,Th0.5Ce0.5,120,0.378,158.731
548224.cif,548224,Fe0.5Ni0.5,120,0.381,159.112
528507.cif,528507,Th0.5Sm0.5,120,0.368,159.48
1950625 copy.cif,1950625,Fe0.5Ni0.5,120,0.357,159.837
1931706.cif,1931706,Fe0.5Ni0.5,120,0.394,160.23
454209.cif,454209,Th0.5Ce0.5,120,0.506,160.736
Nd5Si3.cif,1720931,Nd5Si3,662,13.15,173.886
1049599.cif,1049599,Fe0.5Ir0.5,120,0.411,174.297
Nd5Si3 copy.cif,1720931,Nd5Si3,662,12.644,186.941
454223.cif,454223,La0.5Th0.5,120,0.419,187.36
528505.cif,528505,La0.5Th0.5,120,0.367,187.727
250140.cif,250140,ThRu2,642,11.145,198.873
Al3Ni copy.cif,1601445,NiAl3,272,2.134,201.007
1965988.cif,1965988,Co0.5Ni0.5,120,0.37,201.377
250141.cif,250141,ThRu,148,0.645,202.022
534663.cif,534663,Ni0.5Pt0.5,120,0.374,202.396
1933648.cif,1933648,Fe0.50Ni0.50,120,0.369,202.765
