Entry,Compound,Shortest distance,Filtered,Number of atoms
1922795,Os0.5Pt0.5,2.76478,No,120
1933263,Ni0.5Pd0.5,2.64457,No,120
1212325,Fe0.5Ni0.5,2.52649,No,120
1822151,Fe0.5Pd0.5,2.76054,No,120
1965540,Co0.50Ni0.50,2.4987,No,120
261615,Rh0.5Ni0.5,2.60639,No,120
261239,Co0.5Ir0.5,2.61629,No,120
530577,Fe0.5Rh0.5,2.64387,No,120
1922784,Ru0.5Pt0.5,2.7266,No,120
1129087,Fe0.5Pt0.5,2.71529,No,120
1932226,Co0.5Pt0.5,2.67003,No,120
454220,Y0.5Th0.5,3.59422,No,120
261822,Ir0.5Rh0.5,2.70397,No,120
528506,Th0.5Ce0.5,3.5921,No,120
250631,Th0.5Ce0.5,3.60263,No,120
548224,Fe0.5Ni0.5,2.52507,No,120
528507,Th0.5Sm0.5,3.5921,No,120
1950625,Fe0.5Ni0.5,2.5313,No,120
1931706,Fe0.5Ni0.5,2.53002,No,120
454209,Th0.5Ce0.5,3.60341,No,120
1720931,Nd5Si3,2.75502,No,662
1049599,Fe0.5Ir0.5,2.64811,No,120
454223,La0.5Th0.5,3.66634,No,120
528505,La0.5Th0.5,3.66634,No,120
250140,ThRu2,2.70715,No,642
1965988,Co0.5Ni0.5,2.49325,No,120
250141,ThRu,2.82535,No,148
534663,Ni0.5Pt0.5,2.65094,No,120
1933648,Fe0.50Ni0.50,2.53625,No,120
