CIF file,Number of atoms in supercell,Min distance,Processing time (s)
535895.cif,296,N/A,0.002
1010124.cif,180,N/A,0.001
1721808.cif,440,N/A,0.002
1237537.cif,178,N/A,0.001
1608530.cif,212,N/A,0.001
1415283.cif,466,N/A,0.004
1630087.cif,212,N/A,0.002
1714643.cif,210,N/A,0.001
1320711.cif,228,N/A,0.001
1640560.cif,228,N/A,0.001
538341.cif,212,N/A,0.002
1825905.cif,108,N/A,0.001
1007316.cif,180,N/A,0.001
1642405.cif,228,N/A,0.001
535671.cif,212,N/A,0.002
1959366.cif,332,N/A,0.002
1005515.cif,160,N/A,0.001
1630093.cif,212,N/A,0.002
1320705.cif,180,N/A,0.001
1013411.cif,483,N/A,0.003
560880.cif,308,N/A,0.002
1010118.cif,180,N/A,0.001
1943458.cif,189,N/A,0.002
559032.cif,150,N/A,0.001
1410304.cif,228,N/A,0.001
537933.cif,383,N/A,0.003
1233786.cif,386,N/A,0.002
548659.cif,212,N/A,0.002
1215741.cif,228,N/A,0.001
1000486.cif,228,N/A,0.001
2041834.cif,212,N/A,0.002
1000492.cif,228,N/A,0.001
535856.cif,296,N/A,0.002
1937440.cif,414,N/A,0.002
1928560.cif,296,N/A,0.002
1607818.cif,296,N/A,0.002
1410310.cif,228,N/A,0.001
537927.cif,296,N/A,0.002
1727262.cif,440,N/A,0.002
1200358.cif,180,N/A,0.001
1824366.cif,323,N/A,0.002
1021312.cif,333,N/A,0.002
1227917.cif,228,N/A,0.001
1933168.cif,175,N/A,0.002
1729501.cif,212,N/A,0.002
1415526.cif,228,N/A,0.001
548665.cif,212,N/A,0.002
1128444.cif,210,N/A,0.001
1216506.cif,296,N/A,0.002
1142689.cif,332,N/A,0.002
1233976.cif,474,N/A,0.003
1411032.cif,228,N/A,0.001
1245638.cif,436,N/A,0.003
548117.cif,383,N/A,0.003
1022948.cif,495,N/A,0.003
537884.cif,228,N/A,0.001
1217787.cif,160,N/A,0.002
1020187.cif,233,N/A,0.001
1831838.cif,210,N/A,0.001
1948337.cif,183,N/A,0.001
1921381.cif,261,N/A,0.002
1814448.cif,212,N/A,0.002
1921395.cif,316,N/A,0.001
1834954.cif,296,N/A,0.002
1340807.cif,326,N/A,0.003
1231754.cif,494,N/A,0.003
1011428.cif,284,N/A,0.002
1728780.cif,386,N/A,0.002
1718125.cif,266,N/A,0.002
1323344.cif,215,N/A,0.002
1152511.cif,194,N/A,0.002
1041579.cif,194,N/A,0.002
1430177.cif,228,N/A,0.002
1803646.cif,212,N/A,0.002
560710.cif,323,N/A,0.002
1008637.cif,212,N/A,0.002
1010078.cif,206,N/A,0.002
1810174.cif,386,N/A,0.002
301189.cif,199,N/A,0.002
1804101.cif,212,N/A,0.002
302480.cif,212,N/A,0.002
1702155.cif,360,N/A,0.002
1340191.cif,233,N/A,0.002
1013571.cif,206,N/A,0.001
1908049.cif,284,N/A,0.002
1043346.cif,175,N/A,0.002
1407095.cif,296,N/A,0.002
1831804.cif,228,N/A,0.001
535711.cif,228,N/A,0.001
382280.cif,212,N/A,0.002
1604530.cif,331,N/A,0.002
1142058.cif,180,N/A,0.001
1008145.cif,180,N/A,0.001
535705.cif,228,N/A,0.001
538221.cif,212,N/A,0.002
1141551.cif,414,N/A,0.002
1128281.cif,360,N/A,0.002
1235268.cif,332,N/A,0.002
1234176.cif,228,N/A,0.001
1612420.cif,296,N/A,0.002
1010087.cif,206,N/A,0.002
459634.cif,212,N/A,0.002
1000294.cif,272,N/A,0.002
301176.cif,199,N/A,0.002
1607978.cif,206,N/A,0.002
302319.cif,456,N/A,0.002
535936.cif,296,N/A,0.002
1810821.cif,300,N/A,0.002
1718680.cif,210,N/A,0.001
535922.cif,296,N/A,0.002
1961014.cif,323,N/A,0.002
311371.cif,332,N/A,0.002
1625273.cif,332,N/A,0.003
1128256.cif,414,N/A,0.003
1503224.cif,448,N/A,0.003
1920706.cif,267,N/A,0.002
555740.cif,142,N/A,0.001
1217778.cif,160,N/A,0.001
1231967.cif,180,N/A,0.001
1008192.cif,228,N/A,0.001
1639114.cif,265,N/A,0.002
1350427.cif,161,N/A,0.002
1611698.cif,212,N/A,0.002
1724145.cif,333,N/A,0.003
548705.cif,212,N/A,0.003
1611854.cif,228,N/A,0.002
1405655.cif,175,N/A,0.002
1008186.cif,464,N/A,0.003
1602828.cif,268,N/A,0.002
1702182.cif,483,N/A,0.003
1920712.cif,267,N/A,0.002
1013029.cif,212,N/A,0.002
314962.cif,212,N/A,0.002
1818070.cif,394,N/A,0.003
458933.cif,228,N/A,0.002
1142514.cif,175,N/A,0.002
1818716.cif,413,N/A,0.003
1010246.cif,212,N/A,0.002
1008409.cif,296,N/A,0.002
535249.cif,228,N/A,0.002
1826834.cif,228,N/A,0.002
1955170.cif,212,N/A,0.002
1818064.cif,316,N/A,0.002
1612178.cif,228,N/A,0.002
1120385.cif,152,N/A,0.001
1008353.cif,296,N/A,0.002
1804465.cif,180,N/A,0.002
1013773.cif,212,N/A,0.002
313957.cif,212,N/A,0.002
1433654.cif,180,N/A,0.001
1007706.cif,296,N/A,0.002
554847.cif,212,N/A,0.002
535275.cif,228,N/A,0.002
1041747.cif,429,N/A,0.002
535261.cif,228,N/A,0.001
1929291.cif,233,N/A,0.002
537476.cif,332,N/A,0.003
1803478.cif,233,N/A,0.002
1840233.cif,228,N/A,0.001
1008347.cif,296,N/A,0.002
1010508.cif,450,N/A,0.003
1942356.cif,266,N/A,0.002
1406176.cif,212,N/A,0.002
1407268.cif,382,N/A,0.003
1232088.cif,233,N/A,0.002
1350619.cif,385,N/A,0.002
1920538.cif,266,N/A,0.002
1802955.cif,206,N/A,0.001
381212.cif,267,N/A,0.003
1248042.cif,212,N/A,0.002
1635262.cif,332,N/A,0.003
1832882.cif,228,N/A,0.002
303577.cif,414,N/A,0.003
1252768.cif,293,N/A,0.002
1406162.cif,212,N/A,0.002
1221786.cif,414,N/A,0.002
1214715.cif,212,N/A,0.002
1824776.cif,180,N/A,0.002
1240422.cif,206,N/A,0.002
1959979.cif,233,N/A,0.002
1722050.cif,160,N/A,0.002
312320.cif,212,N/A,0.002
1228947.cif,206,N/A,0.002
1340345.cif,330,N/A,0.002
1722051.cif,160,N/A,0.002
1044825.cif,413,N/A,0.002
1350630.cif,206,N/A,0.001
1242546.cif,160,N/A,0.001
1522957.cif,206,N/A,0.002
1832673.cif,206,N/A,0.001
1240423.cif,206,N/A,0.002
1836415.cif,323,N/A,0.002
1044819.cif,228,N/A,0.001
1832883.cif,228,N/A,0.001
1635263.cif,212,N/A,0.002
1710961.cif,297,N/A,0.002
1221787.cif,414,N/A,0.002
1406163.cif,150,N/A,0.001
1252769.cif,353,N/A,0.002
1350618.cif,323,N/A,0.003
1232089.cif,233,N/A,0.002
1407269.cif,382,N/A,0.003
1406177.cif,212,N/A,0.002
1248043.cif,212,N/A,0.002
1802954.cif,206,N/A,0.003
1920539.cif,266,N/A,0.003
537477.cif,332,N/A,0.003
1803479.cif,233,N/A,0.004
1929290.cif,233,N/A,0.002
535260.cif,228,N/A,0.001
1011171.cif,296,N/A,0.002
1041746.cif,429,N/A,0.003
1838389.cif,160,N/A,0.002
1008346.cif,296,N/A,0.002
1010509.cif,450,N/A,0.003
1840232.cif,228,N/A,0.001
1008352.cif,296,N/A,0.002
535274.cif,228,N/A,0.001
1816706.cif,296,N/A,0.002
554846.cif,212,N/A,0.002
313956.cif,212,N/A,0.002
1013772.cif,296,N/A,0.002
1826835.cif,228,N/A,0.001
1611316.cif,228,N/A,0.002
1005138.cif,212,N/A,0.002
1233426.cif,180,N/A,0.002
1612179.cif,228,N/A,0.002
314963.cif,212,N/A,0.002
1804458.cif,212,N/A,0.002
535248.cif,228,N/A,0.001
1144164.cif,296,N/A,0.002
1818717.cif,413,N/A,0.004
1142515.cif,175,N/A,0.002
458932.cif,228,N/A,0.001
1405654.cif,175,N/A,0.002
1611855.cif,228,N/A,0.001
557624.cif,212,N/A,0.002
1607951.cif,212,N/A,0.002
1920713.cif,267,N/A,0.002
1702183.cif,316,N/A,0.002
1803860.cif,267,N/A,0.002
1602829.cif,268,N/A,0.002
1217779.cif,160,N/A,0.002
555741.cif,142,N/A,0.001
1503225.cif,206,N/A,0.001
1920707.cif,267,N/A,0.002
1949969.cif,212,N/A,0.002
1611699.cif,212,N/A,0.002
1350426.cif,161,N/A,0.001
1639115.cif,265,N/A,0.002
1008193.cif,464,N/A,0.002
1231966.cif,169,N/A,0.002
535923.cif,296,N/A,0.002
1227692.cif,206,N/A,0.002
311370.cif,212,N/A,0.002
1803684.cif,183,N/A,0.002
1956861.cif,206,N/A,0.001
1607979.cif,206,N/A,0.002
1351062.cif,228,N/A,0.001
1415309.cif,206,N/A,0.002
301177.cif,317,N/A,0.002
1000295.cif,272,N/A,0.001
459635.cif,212,N/A,0.002
1010086.cif,206,N/A,0.002
535937.cif,296,N/A,0.002
1210994.cif,326,N/A,0.003
302318.cif,456,N/A,0.003
1224402.cif,461,N/A,0.003
535704.cif,228,N/A,0.002
1008144.cif,228,N/A,0.001
1142059.cif,180,N/A,0.002
1612421.cif,296,N/A,0.002
1235269.cif,332,N/A,0.003
302495.cif,456,N/A,0.003
1950223.cif,160,N/A,0.002
1224370.cif,464,N/A,0.003
1340190.cif,233,N/A,0.002
1702154.cif,360,N/A,0.004
302481.cif,386,N/A,0.003
301188.cif,199,N/A,0.002
1810175.cif,386,N/A,0.002
1604531.cif,331,N/A,0.003
535710.cif,228,N/A,0.001
1008150.cif,296,N/A,0.002
1831805.cif,228,N/A,0.002
1011429.cif,284,N/A,0.004
1231755.cif,494,N/A,0.005
1054175.cif,261,N/A,0.002
1921394.cif,316,N/A,0.002
1834955.cif,296,N/A,0.002
1054613.cif,212,N/A,0.002
1803647.cif,212,N/A,0.003
1430176.cif,228,N/A,0.002
1041578.cif,194,N/A,0.002
1152510.cif,194,N/A,0.002
1020186.cif,233,N/A,0.002
1217786.cif,160,N/A,0.002
537885.cif,228,N/A,0.003
1022949.cif,495,N/A,0.003
1921380.cif,261,N/A,0.002
1050307.cif,252,N/A,0.002
1831839.cif,280,N/A,0.003
1636346.cif,296,N/A,0.002
557988.cif,228,N/A,0.002
1824415.cif,212,N/A,0.002
1600192.cif,296,N/A,0.002
1245639.cif,436,N/A,0.003
1411033.cif,228,N/A,0.002
1233977.cif,296,N/A,0.002
1432832.cif,356,N/A,0.002
1142688.cif,332,N/A,0.004
1216507.cif,183,N/A,0.003
1933169.cif,175,N/A,0.003
1216513.cif,276,N/A,0.003
1227916.cif,228,N/A,0.002
1021313.cif,333,N/A,0.002
1824367.cif,323,N/A,0.003
548664.cif,212,N/A,0.002
1729500.cif,212,N/A,0.002
1928561.cif,180,N/A,0.002
1937441.cif,414,N/A,0.002
535857.cif,296,N/A,0.002
1000493.cif,228,N/A,0.002
1248321.cif,212,N/A,0.002
1727263.cif,440,N/A,0.002
537926.cif,296,N/A,0.002
1607819.cif,296,N/A,0.002
546107.cif,212,N/A,0.002
1233787.cif,386,N/A,0.003
1630079.cif,206,N/A,0.002
537932.cif,199,N/A,0.002
1410305.cif,228,N/A,0.002
559033.cif,150,N/A,0.001
1635101.cif,326,N/A,0.003
1942974.cif,90,N/A,0.002
1000487.cif,228,N/A,0.001
548658.cif,212,N/A,0.002
1005514.cif,394,N/A,0.003
1959367.cif,431,N/A,0.003
312094.cif,316,N/A,0.002
535670.cif,212,N/A,0.002
1604451.cif,261,N/A,0.002
1010119.cif,180,N/A,0.002
1013410.cif,483,N/A,0.003
1234003.cif,199,N/A,0.002
1630092.cif,212,N/A,0.002
1013404.cif,332,N/A,0.003
1320710.cif,228,N/A,0.001
1406598.cif,180,N/A,0.002
1415282.cif,466,N/A,0.004
1007317.cif,228,N/A,0.002
1005500.cif,210,N/A,0.001
538340.cif,212,N/A,0.002
460671.cif,206,N/A,0.003
1237250.cif,212,N/A,0.002
1324238.cif,333,N/A,0.003
1223225.cif,414,N/A,0.003
1608531.cif,210,N/A,0.001
560665.cif,180,N/A,0.001
1237536.cif,178,N/A,0.001
1010125.cif,180,N/A,0.002
1010131.cif,180,N/A,0.002
1223231.cif,316,N/A,0.002
535880.cif,296,N/A,0.002
1000444.cif,179,N/A,0.002
1831795.cif,175,N/A,0.002
1802808.cif,296,N/A,0.002
1340231.cif,233,N/A,0.002
536806.cif,206,N/A,0.002
1936207.cif,379,N/A,0.003
548472.cif,175,N/A,0.002
1939652.cif,228,N/A,0.002
1410649.cif,445,N/A,0.002
300651.cif,385,N/A,0.003
1634753.cif,160,N/A,0.002
1710197.cif,206,N/A,0.002
1954482.cif,212,N/A,0.002
1433084.cif,160,N/A,0.002
1634747.cif,450,N/A,0.005
1411543.cif,364,N/A,0.002
1824165.cif,296,N/A,0.002
536812.cif,206,N/A,0.002
1813911.cif,183,N/A,0.002
1645800.cif,326,N/A,0.002
1606905.cif,323,N/A,0.003
459557.cif,212,N/A,0.002
1007698.cif,228,N/A,0.002
1011944.cif,333,N/A,0.003
1925247.cif,326,N/A,0.004
1958284.cif,333,N/A,0.003
558885.cif,212,N/A,0.003
311774.cif,206,N/A,0.002
1011950.cif,333,N/A,0.003
1247562.cif,212,N/A,0.002
300679.cif,212,N/A,0.002
1925253.cif,326,N/A,0.003
2041389.cif,212,N/A,0.002
1211042.cif,183,N/A,0.002
1824159.cif,296,N/A,0.002
1715979.cif,461,N/A,0.003
1233585.cif,356,N/A,0.003
1234201.cif,300,N/A,0.002
535314.cif,228,N/A,0.002
1008232.cif,199,N/A,0.002
1232116.cif,284,N/A,0.002
312296.cif,316,N/A,0.003
300686.cif,212,N/A,0.002
1009138.cif,180,N/A,0.002
1008226.cif,296,N/A,0.003
535300.cif,228,N/A,0.005
1121878.cif,206,N/A,0.002
1818677.cif,175,N/A,0.002
535328.cif,316,N/A,0.002
558846.cif,296,N/A,0.003
1148158.cif,212,N/A,0.005
1718534.cif,206,N/A,0.002
538618.cif,212,N/A,0.003
1605203.cif,332,N/A,0.004
458846.cif,206,N/A,0.002
1211081.cif,175,N/A,0.005
1007897.cif,323,N/A,0.008
1718536.cif,222,N/A,0.005
1042463.cif,402,N/A,0.004
538168.cif,129,N/A,0.003
1401961.cif,326,N/A,0.004
1818675.cif,175,N/A,0.004
458850.cif,206,N/A,0.003
1211083.cif,175,N/A,0.002
458844.cif,206,N/A,0.002
1013638.cif,212,N/A,0.002
558850.cif,296,N/A,0.002
1433079.cif,160,N/A,0.002
1008218.cif,210,N/A,0.002
1718522.cif,206,N/A,0.002
312294.cif,316,N/A,0.002
1232114.cif,284,N/A,0.002
1341850.cif,332,N/A,0.003
1606046.cif,210,N/A,0.001
300690.cif,212,N/A,0.002
535316.cif,228,N/A,0.001
1232666.cif,206,N/A,0.002
1233578.cif,228,N/A,0.002
1002709.cif,498,N/A,0.003
551848.cif,212,N/A,0.002
535302.cif,228,N/A,0.001
1602552.cif,296,N/A,0.002
1008224.cif,212,N/A,0.002
300684.cif,212,N/A,0.002
1232100.cif,233,N/A,0.002
1011946.cif,333,N/A,0.002
1211054.cif,183,N/A,0.002
459555.cif,180,N/A,0.002
458893.cif,150,N/A,0.002
1233587.cif,175,N/A,0.002
1406767.cif,379,N/A,0.003
1048199.cif,394,N/A,0.002
1925251.cif,326,N/A,0.003
1011952.cif,333,N/A,0.002
1634751.cif,160,N/A,0.002
1710195.cif,394,N/A,0.002
300653.cif,385,N/A,0.002
1634989.cif,212,N/A,0.002
1433092.cif,160,N/A,0.002
1023076.cif,343,N/A,0.002
1535391.cif,414,N/A,0.003
1939650.cif,228,N/A,0.001
548470.cif,175,N/A,0.002
536804.cif,206,N/A,0.002
1340233.cif,419,N/A,0.003
1924601.cif,394,N/A,0.003
1241893.cif,364,N/A,0.002
536810.cif,206,N/A,0.002
538183.cif,212,N/A,0.002
1634745.cif,212,N/A,0.002
300647.cif,385,N/A,0.003
1433086.cif,160,N/A,0.002
1010127.cif,180,N/A,0.001
560667.cif,180,N/A,0.001
1532165.cif,212,N/A,0.002
1910759.cif,206,N/A,0.002
1223227.cif,326,N/A,0.002
1431478.cif,446,N/A,0.003
535896.cif,296,N/A,0.002
1831797.cif,175,N/A,0.002
1007329.cif,183,N/A,0.002
548699.cif,212,N/A,0.002
1010133.cif,332,N/A,0.003
1630090.cif,212,N/A,0.002
1320706.cif,180,N/A,0.002
1013412.cif,483,N/A,0.003
1000308.cif,180,N/A,0.002
460129.cif,210,N/A,0.002
1604453.cif,228,N/A,0.001
1944452.cif,296,N/A,0.002
554298.cif,466,N/A,0.004
535672.cif,212,N/A,0.002
1340794.cif,332,N/A,0.003
1959365.cif,431,N/A,0.002
539048.cif,212,N/A,0.002
1940620.cif,175,N/A,0.002
1964796.cif,175,N/A,0.002
1007315.cif,228,N/A,0.001
301798.cif,212,N/A,0.002
1415280.cif,466,N/A,0.004
1630084.cif,233,N/A,0.002
1320712.cif,228,N/A,0.001
1013406.cif,332,N/A,0.002
538424.cif,212,N/A,0.002
1407684.cif,212,N/A,0.002
1722319.cif,206,N/A,0.002
1233791.cif,323,N/A,0.002
1728152.cif,142,N/A,0.001
1030552.cif,160,N/A,0.001
535855.cif,296,N/A,0.002
1000491.cif,228,N/A,0.001
1727507.cif,212,N/A,0.002
303164.cif,394,N/A,0.002
1825735.cif,109,N/A,0.002
1937443.cif,414,N/A,0.002
1121339.cif,286,N/A,0.002
1409130.cif,228,N/A,0.001
1215742.cif,228,N/A,0.001
2041837.cif,212,N/A,0.001
1000485.cif,228,N/A,0.001
1020033.cif,175,N/A,0.002
1635103.cif,326,N/A,0.003
559031.cif,150,N/A,0.001
1410307.cif,228,N/A,0.001
537930.cif,296,N/A,0.002
1233785.cif,386,N/A,0.002
1830304.cif,228,N/A,0.002
1432830.cif,356,N/A,0.002
1233975.cif,175,N/A,0.002
302520.cif,212,N/A,0.001
1636344.cif,296,N/A,0.002
1830462.cif,180,N/A,0.001
535869.cif,296,N/A,0.002
1935268.cif,233,N/A,0.001
1729502.cif,212,N/A,0.002
1020769.cif,206,N/A,0.002
1415525.cif,228,N/A,0.001
548666.cif,212,N/A,0.001
1213469.cif,160,N/A,0.001
1727249.cif,210,N/A,0.002
1021311.cif,333,N/A,0.002
1216511.cif,402,N/A,0.002
1718126.cif,266,N/A,0.002
1152512.cif,194,N/A,0.002
1430174.cif,228,N/A,0.001
538578.cif,206,N/A,0.002
1803645.cif,212,N/A,0.001
1210941.cif,332,N/A,0.002
1231757.cif,464,N/A,0.003
301808.cif,175,N/A,0.002
1921382.cif,261,N/A,0.002
1803137.cif,343,N/A,0.002
1430160.cif,206,N/A,0.001
1941310.cif,323,N/A,0.002
537887.cif,228,N/A,0.001
1217784.cif,160,N/A,0.001
1539150.cif,212,N/A,0.002
1152506.cif,194,N/A,0.002
1008608.cif,180,N/A,0.001
1410298.cif,228,N/A,0.001
302497.cif,445,N/A,0.002
1910611.cif,206,N/A,0.002
1234175.cif,228,N/A,0.002
1008146.cif,296,N/A,0.002
535706.cif,228,N/A,0.001
1224400.cif,426,N/A,0.002
538236.cif,212,N/A,0.002
462138.cif,212,N/A,0.002
1141546.cif,360,N/A,0.002
1804664.cif,296,N/A,0.002
1008152.cif,108,N/A,0.001
535712.cif,228,N/A,0.001
1340192.cif,233,N/A,0.002
1931813.cif,212,N/A,0.002
302483.cif,296,N/A,0.002
1702156.cif,360,N/A,0.002
1224372.cif,474,N/A,0.003
1043345.cif,175,N/A,0.002
1224399.cif,212,N/A,0.002
1934758.cif,169,N/A,0.002
1810822.cif,300,N/A,0.003
1718683.cif,356,N/A,0.002
1910188.cif,266,N/A,0.003
1350418.cif,206,N/A,0.003
1937523.cif,160,N/A,0.003
1727467.cif,212,N/A,0.002
1231958.cif,206,N/A,0.002
535935.cif,296,N/A,0.002
459637.cif,212,N/A,0.002
1211336.cif,394,N/A,0.003
1010084.cif,206,N/A,0.002
1819812.cif,267,N/A,0.002
1000297.cif,272,N/A,0.002
552038.cif,212,N/A,0.002
382532.cif,228,N/A,0.001
1920711.cif,267,N/A,0.002
1702181.cif,483,N/A,0.003
302454.cif,296,N/A,0.002
538587.cif,180,N/A,0.001
1607953.cif,495,N/A,0.002
1636230.cif,360,N/A,0.002
1939526.cif,212,N/A,0.002
1611857.cif,228,N/A,0.001
1724146.cif,333,N/A,0.002
548706.cif,212,N/A,0.002
1521092.cif,228,N/A,0.001
1405656.cif,175,N/A,0.002
1008185.cif,175,N/A,0.002
535909.cif,296,N/A,0.002
1350424.cif,161,N/A,0.001
1639117.cif,265,N/A,0.002
537878.cif,228,N/A,0.001
1920705.cif,267,N/A,0.002
1128255.cif,414,N/A,0.002
1008378.cif,284,N/A,0.002
1802759.cif,293,N/A,0.002
1233424.cif,180,N/A,0.002
1716309.cif,228,N/A,0.001
1709229.cif,316,N/A,0.002
1826837.cif,385,N/A,0.002
1717017.cif,212,N/A,0.002
1142517.cif,175,N/A,0.002
458930.cif,228,N/A,0.001
1010245.cif,212,N/A,0.002
1818715.cif,413,N/A,0.002
314961.cif,212,N/A,0.001
560263.cif,180,N/A,0.002
1840230.cif,330,N/A,0.002
1942355.cif,266,N/A,0.002
1041744.cif,429,N/A,0.002
535262.cif,228,N/A,0.002
1011173.cif,296,N/A,0.002
1718318.cif,228,N/A,0.001
1929292.cif,233,N/A,0.001
537475.cif,332,N/A,0.002
1611328.cif,228,N/A,0.001
1522028.cif,296,N/A,0.002
1606898.cif,323,N/A,0.002
1814113.cif,206,N/A,0.002
313954.cif,466,N/A,0.003
1041750.cif,429,N/A,0.002
1007705.cif,212,N/A,0.002
535276.cif,228,N/A,0.001
1030817.cif,316,N/A,0.001
1226001.cif,228,N/A,0.001
1008350.cif,296,N/A,0.002
1804466.cif,180,N/A,0.002
536019.cif,180,N/A,0.002
1223179.cif,295,N/A,0.002
1242578.cif,180,N/A,0.001
1406161.cif,212,N/A,0.002
1221785.cif,414,N/A,0.003
1710963.cif,297,N/A,0.002
1240409.cif,228,N/A,0.001
1023658.cif,179,N/A,0.002
381205.cif,228,N/A,0.001
1802956.cif,206,N/A,0.002
381211.cif,267,N/A,0.002
535289.cif,228,N/A,0.002
1248041.cif,228,N/A,0.001
1820249.cif,212,N/A,0.002
1406175.cif,212,N/A,0.001
1824749.cif,352,N/A,0.003
1819386.cif,326,N/A,0.003
1000903.cif,483,N/A,0.003
1242544.cif,160,N/A,0.001
1350632.cif,228,N/A,0.001
1722053.cif,160,N/A,0.001
1023664.cif,179,N/A,0.001
1626547.cif,267,N/A,0.002
1830072.cif,206,N/A,0.002
1240421.cif,206,N/A,0.002
309717.cif,175,N/A,0.002
1243128.cif,212,N/A,0.002
1214716.cif,212,N/A,0.002
1406149.cif,212,N/A,0.002
1350626.cif,180,N/A,0.002
1612190.cif,211,N/A,0.002
309716.cif,175,N/A,0.008
1240420.cif,206,N/A,0.002
1612191.cif,211,N/A,0.002
1350627.cif,402,N/A,0.003
1214717.cif,212,N/A,0.001
1350633.cif,316,N/A,0.001
1242545.cif,160,N/A,0.002
1819387.cif,296,N/A,0.002
1830073.cif,206,N/A,0.002
1722052.cif,160,N/A,0.002
1340346.cif,296,N/A,0.002
535288.cif,228,N/A,0.001
381210.cif,323,N/A,0.003
1802957.cif,212,N/A,0.001
1824748.cif,316,N/A,0.002
1005852.cif,160,N/A,0.001
1221790.cif,414,N/A,0.002
1221784.cif,414,N/A,0.002
1406160.cif,212,N/A,0.001
381204.cif,228,N/A,0.001
540603.cif,360,N/A,0.002
1023659.cif,179,N/A,0.001
1240408.cif,206,N/A,0.002
1710962.cif,297,N/A,0.002
535277.cif,228,N/A,0.001
1041751.cif,429,N/A,0.002
554845.cif,212,N/A,0.002
313955.cif,212,N/A,0.002
1814112.cif,206,N/A,0.002
1606899.cif,323,N/A,0.002
302858.cif,382,N/A,0.002
1522029.cif,296,N/A,0.002
536018.cif,180,N/A,0.001
1804467.cif,467,N/A,0.003
1008351.cif,296,N/A,0.002
1942354.cif,346,N/A,0.003
1840231.cif,330,N/A,0.002
1937913.cif,370,N/A,0.002
1611329.cif,228,N/A,0.001
537474.cif,332,N/A,0.003
1929293.cif,233,N/A,0.001
1840557.cif,160,N/A,0.001
1324617.cif,296,N/A,0.002
1220303.cif,175,N/A,0.002
1011172.cif,296,N/A,0.002
1905779.cif,237,N/A,0.002
535263.cif,228,N/A,0.001
554851.cif,212,N/A,0.001
1041745.cif,429,N/A,0.002
1941113.cif,323,N/A,0.002
1818714.cif,413,N/A,0.002
1010244.cif,212,N/A,0.002
458931.cif,228,N/A,0.001
1142516.cif,175,N/A,0.002
536024.cif,180,N/A,0.001
314960.cif,212,N/A,0.001
1008379.cif,284,N/A,0.002
1717016.cif,212,N/A,0.001
1818700.cif,211,N/A,0.002
1826836.cif,323,N/A,0.002
1709228.cif,228,N/A,0.002
1803446.cif,482,N/A,0.003
1926413.cif,332,N/A,0.002
1407054.cif,300,N/A,0.002
1639116.cif,265,N/A,0.002
1350425.cif,161,N/A,0.002
1008190.cif,212,N/A,0.002
535908.cif,296,N/A,0.002
1128254.cif,414,N/A,0.002
1920704.cif,267,N/A,0.002
1503226.cif,228,N/A,0.001
537879.cif,228,N/A,0.001
538586.cif,180,N/A,0.001
1702180.cif,483,N/A,0.003
1233800.cif,272,N/A,0.002
1920710.cif,267,N/A,0.002
1236978.cif,265,N/A,0.002
552039.cif,212,N/A,0.001
1008184.cif,296,N/A,0.002
1405657.cif,333,N/A,0.002
1521093.cif,194,N/A,0.002
1945822.cif,228,N/A,0.001
548707.cif,212,N/A,0.001
1611856.cif,228,N/A,0.001
535934.cif,296,N/A,0.002
1350419.cif,206,N/A,0.002
381012.cif,212,N/A,0.001
1000296.cif,272,N/A,0.001
1211337.cif,394,N/A,0.003
459636.cif,212,N/A,0.001
1934759.cif,169,N/A,0.001
302469.cif,448,N/A,0.002
1224398.cif,326,N/A,0.002
1910189.cif,266,N/A,0.002
1718682.cif,356,N/A,0.002
1810823.cif,300,N/A,0.002
1604532.cif,331,N/A,0.002
535713.cif,228,N/A,0.001
1831806.cif,228,N/A,0.001
1407097.cif,296,N/A,0.002
538237.cif,212,N/A,0.001
1043344.cif,211,N/A,0.002
1013573.cif,236,N/A,0.002
1804103.cif,212,N/A,0.001
1340193.cif,419,N/A,0.003
1810176.cif,386,N/A,0.002
460048.cif,317,N/A,0.002
1047122.cif,175,N/A,0.002
1224367.cif,414,N/A,0.002
1320673.cif,297,N/A,0.002
1910610.cif,206,N/A,0.002
1410299.cif,228,N/A,0.001
535707.cif,228,N/A,0.001
1008147.cif,175,N/A,0.002
1921383.cif,261,N/A,0.002
1539637.cif,390,N/A,0.003
301809.cif,175,N/A,0.002
1210954.cif,296,N/A,0.002
1152507.cif,194,N/A,0.002
1539151.cif,212,N/A,0.002
1217785.cif,160,N/A,0.001
1718133.cif,228,N/A,0.002
537886.cif,228,N/A,0.001
1941311.cif,323,N/A,0.002
1430161.cif,228,N/A,0.001
1522203.cif,206,N/A,0.002
1803644.cif,212,N/A,0.002
538579.cif,206,N/A,0.002
1430175.cif,228,N/A,0.001
1152513.cif,194,N/A,0.002
1010052.cif,380,N/A,0.002
1718127.cif,266,N/A,0.002
1231756.cif,464,N/A,0.003
548667.cif,212,N/A,0.001
1729503.cif,212,N/A,0.001
1216510.cif,418,N/A,0.003
1727248.cif,466,N/A,0.003
302521.cif,212,N/A,0.001
1830305.cif,228,N/A,0.001
1216504.cif,212,N/A,0.002
535868.cif,296,N/A,0.002
1636345.cif,296,N/A,0.002
1000484.cif,228,N/A,0.002
1409131.cif,206,N/A,0.002
1233784.cif,386,N/A,0.003
537931.cif,296,N/A,0.003
1410306.cif,228,N/A,0.002
559030.cif,150,N/A,0.002
1635102.cif,326,N/A,0.003
1722318.cif,206,N/A,0.002
1803095.cif,430,N/A,0.004
