CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1965761.cif,333,N/A,0.005
1218170.cif,413,N/A,0.005
1232799.cif,169,N/A,0.003
1833527.cif,193,N/A,0.003
1007956.cif,326,N/A,0.005
1212461.cif,413,N/A,0.003
1405346.cif,456,N/A,0.004
1612696.cif,228,N/A,0.004
1924701.cif,129,N/A,0.003
1240327.cif,212,N/A,0.004
1606185.cif,233,N/A,0.006
1240333.cif,456,N/A,0.004
1840293.cif,212,N/A,0.005
1819480.cif,333,N/A,0.005
1933269.cif,267,N/A,0.005
1623338.cif,206,N/A,0.005
1240332.cif,175,N/A,0.004
1943957.cif,436,N/A,0.003
1819481.cif,333,N/A,0.004
1008494.cif,175,N/A,0.003
1612697.cif,228,N/A,0.005
1922371.cif,228,N/A,0.002
302145.cif,212,N/A,0.004
1606184.cif,233,N/A,0.003
1406128.cif,332,N/A,0.005
461691.cif,228,N/A,0.004
1240326.cif,265,N/A,0.003
1221082.cif,180,N/A,0.004
1007957.cif,326,N/A,0.005
1232798.cif,169,N/A,0.002
1833532.cif,233,N/A,0.002
1826881.cif,228,N/A,0.001
1231285.cif,300,N/A,0.002
1727604.cif,228,N/A,0.001
1000792.cif,416,N/A,0.003
301470.cif,206,N/A,0.002
1522908.cif,210,N/A,0.001
1406114.cif,212,N/A,0.002
1141731.cif,228,N/A,0.002
458979.cif,332,N/A,0.003
1013711.cif,228,N/A,0.001
551785.cif,212,N/A,0.002
1322212.cif,212,N/A,0.002
1013077.cif,481,N/A,0.003
1606147.cif,233,N/A,0.002
300961.cif,212,N/A,0.001
1341979.cif,150,N/A,0.001
1947516.cif,446,N/A,0.003
1007994.cif,284,N/A,0.002
1228703.cif,108,N/A,0.001
1010230.cif,212,N/A,0.001
458945.cif,228,N/A,0.001
460216.cif,296,N/A,0.002
1406869.cif,296,N/A,0.002
1535509.cif,414,N/A,0.002
300975.cif,212,N/A,0.002
1925387.cif,413,N/A,0.002
1953211.cif,206,N/A,0.002
1200272.cif,300,N/A,0.002
1008682.cif,300,N/A,0.002
548767.cif,212,N/A,0.001
1939547.cif,228,N/A,0.001
1407020.cif,142,N/A,0.001
300544.cif,272,N/A,0.001
301882.cif,212,N/A,0.002
535968.cif,296,N/A,0.002
555044.cif,212,N/A,0.002
300550.cif,272,N/A,0.001
1932406.cif,175,N/A,0.002
1415430.cif,402,N/A,0.002
1411130.cif,228,N/A,0.001
300236.cif,261,N/A,0.002
1612495.cif,212,N/A,0.001
1621077.cif,212,N/A,0.002
459642.cif,212,N/A,0.001
1820758.cif,323,N/A,0.003
535940.cif,296,N/A,0.005
548997.cif,180,N/A,0.001
312168.cif,212,N/A,0.002
535954.cif,296,N/A,0.002
1211357.cif,183,N/A,0.002
1024340.cif,228,N/A,0.001
1149609.cif,228,N/A,0.001
1803618.cif,296,N/A,0.002
1007214.cif,448,N/A,0.002
1008127.cif,180,N/A,0.002
1232203.cif,212,N/A,0.002
460996.cif,160,N/A,0.002
1051720.cif,314,N/A,0.002
1260551.cif,323,N/A,0.002
1231078.cif,233,N/A,0.002
1013513.cif,456,N/A,0.002
1730813.cif,175,N/A,0.002
1615311.cif,450,N/A,0.003
1217929.cif,266,N/A,0.002
1644638.cif,212,N/A,0.002
1144311.cif,180,N/A,0.001
1803624.cif,296,N/A,0.002
548798.cif,332,N/A,0.002
1948341.cif,212,N/A,0.001
1818210.cif,414,N/A,0.002
539613.cif,296,N/A,0.002
1803630.cif,212,N/A,0.002
1813423.cif,206,N/A,0.002
1000235.cif,304,N/A,0.002
1049153.cif,233,N/A,0.002
1229794.cif,206,N/A,0.002
1433597.cif,183,N/A,0.002
1721895.cif,212,N/A,0.002
303887.cif,152,N/A,0.001
1121370.cif,286,N/A,0.002
1008090.cif,199,N/A,0.002
1008084.cif,199,N/A,0.002
1121364.cif,206,N/A,0.002
539798.cif,212,N/A,0.001
1957498.cif,183,N/A,0.002
1608591.cif,332,N/A,0.002
315001.cif,212,N/A,0.001
1833650.cif,233,N/A,0.001
1803793.cif,284,N/A,0.002
301712.cif,210,N/A,0.001
1350519.cif,333,N/A,0.002
1636319.cif,266,N/A,0.002
1234921.cif,212,N/A,0.002
1406276.cif,175,N/A,0.002
1937436.cif,414,N/A,0.002
1406262.cif,261,N/A,0.002
540267.cif,270,N/A,0.002
303111.cif,180,N/A,0.001
1718782.cif,206,N/A,0.002
1047977.cif,206,N/A,0.002
1010191.cif,296,N/A,0.002
315015.cif,212,N/A,0.002
546170.cif,212,N/A,0.002
300395.cif,212,N/A,0.002
1721856.cif,212,N/A,0.002
1122862.cif,228,N/A,0.001
1007360.cif,175,N/A,0.002
1008053.cif,228,N/A,0.001
548808.cif,466,N/A,0.004
1009359.cif,466,N/A,0.004
300381.cif,212,N/A,0.001
1008721.cif,296,N/A,0.002
1810062.cif,495,N/A,0.002
539983.cif,175,N/A,0.002
1220029.cif,272,N/A,0.001
1010146.cif,332,N/A,0.002
1820189.cif,228,N/A,0.002
1008709.cif,296,N/A,0.002
1004133.cif,228,N/A,0.001
1223246.cif,180,N/A,0.001
539015.cif,334,N/A,0.002
537038.cif,212,N/A,0.002
1024585.cif,307,N/A,0.002
459093.cif,212,N/A,0.002
301909.cif,334,N/A,0.002
1024591.cif,307,N/A,0.002
1004127.cif,196,N/A,0.002
1237541.cif,178,N/A,0.001
1008292.cif,332,N/A,0.002
555326.cif,296,N/A,0.002
1926711.cif,228,N/A,0.001
1214171.cif,268,N/A,0.001
1960022.cif,212,N/A,0.001
554986.cif,466,N/A,0.004
1248168.cif,129,N/A,0.002
461083.cif,212,N/A,0.002
1957842.cif,160,N/A,0.002
1630224.cif,211,N/A,0.002
1612085.cif,296,N/A,0.002
1804598.cif,380,N/A,0.003
1005952.cif,206,N/A,0.001
300168.cif,212,N/A,0.001
1816822.cif,267,N/A,0.002
1802857.cif,212,N/A,0.002
312578.cif,466,N/A,0.004
1226855.cif,229,N/A,0.002
1828700.cif,380,N/A,0.002
1049580.cif,456,N/A,0.002
1830629.cif,332,N/A,0.002
1406060.cif,464,N/A,0.002
1601748.cif,206,N/A,0.002
379454.cif,316,N/A,0.002
1008251.cif,212,N/A,0.002
1241825.cif,296,N/A,0.002
1435327.cif,228,N/A,0.001
537560.cif,206,N/A,0.002
1013671.cif,228,N/A,0.001
1406921.cif,266,N/A,0.002
537574.cif,212,N/A,0.001
461040.cif,206,N/A,0.002
1840457.cif,296,N/A,0.002
1008245.cif,414,N/A,0.003
300815.cif,212,N/A,0.002
1230986.cif,228,N/A,0.001
1120293.cif,296,N/A,0.002
536124.cif,178,N/A,0.001
1815330.cif,353,N/A,0.003
1926088.cif,228,N/A,0.001
1406909.cif,160,N/A,0.001
458831.cif,206,N/A,0.002
1241819.cif,296,N/A,0.002
461068.cif,296,N/A,0.002
309831.cif,228,N/A,0.001
458825.cif,206,N/A,0.002
1934498.cif,314,N/A,0.002
1521408.cif,284,N/A,0.002
1930826.cif,266,N/A,0.002
537548.cif,261,N/A,0.002
1120287.cif,296,N/A,0.002
462213.cif,180,N/A,0.001
1150760.cif,211,N/A,0.002
536130.cif,178,N/A,0.001
1642895.cif,342,N/A,0.002
1008279.cif,210,N/A,0.001
1230992.cif,228,N/A,0.001
309833.cif,261,N/A,0.002
535349.cif,180,N/A,0.001
458833.cif,206,N/A,0.002
536126.cif,178,N/A,0.001
1120291.cif,296,N/A,0.002
1230984.cif,228,N/A,0.001
1643545.cif,332,N/A,0.003
1228113.cif,206,N/A,0.002
1642897.cif,342,N/A,0.002
536132.cif,233,N/A,0.001
1823694.cif,413,N/A,0.002
309827.cif,402,N/A,0.002
1231330.cif,268,N/A,0.001
458827.cif,206,N/A,0.002
1013673.cif,228,N/A,0.001
1241827.cif,370,N/A,0.002
1049569.cif,456,N/A,0.003
1008253.cif,326,N/A,0.003
379456.cif,261,N/A,0.002
462239.cif,436,N/A,0.002
1612044.cif,175,N/A,0.002
1008247.cif,175,N/A,0.002
300181.cif,212,N/A,0.001
461042.cif,206,N/A,0.002
1430249.cif,228,N/A,0.002
1946756.cif,267,N/A,0.002
1141135.cif,383,N/A,0.003
537576.cif,212,N/A,0.002
1802855.cif,212,N/A,0.002
1816820.cif,267,N/A,0.002
555318.cif,296,N/A,0.002
301512.cif,296,N/A,0.002
1232188.cif,300,N/A,0.002
1533967.cif,160,N/A,0.002
1406062.cif,464,N/A,0.002
1049582.cif,456,N/A,0.002
1965170.cif,212,N/A,0.002
1828702.cif,175,N/A,0.002
1433967.cif,206,N/A,0.002
1960008.cif,212,N/A,0.002
1232822.cif,228,N/A,0.001
1013698.cif,183,N/A,0.002
554984.cif,466,N/A,0.004
300156.cif,212,N/A,0.002
1960020.cif,212,N/A,0.002
1214173.cif,268,N/A,0.002
1819291.cif,206,N/A,0.002
555324.cif,296,N/A,0.002
1008284.cif,212,N/A,0.002
1214167.cif,268,N/A,0.002
1340244.cif,228,N/A,0.001
379668.cif,304,N/A,0.002
1102554.cif,316,N/A,0.002
1907520.cif,296,N/A,0.002
1024587.cif,307,N/A,0.003
539017.cif,334,N/A,0.003
1950478.cif,212,N/A,0.002
1608550.cif,333,N/A,0.003
1142616.cif,253,N/A,0.002
1730965.cif,206,N/A,0.002
1810048.cif,386,N/A,0.003
1010144.cif,332,N/A,0.004
1718031.cif,233,N/A,0.004
1613616.cif,498,N/A,0.004
1943410.cif,160,N/A,0.002
1608544.cif,206,N/A,0.002
1927182.cif,180,N/A,0.002
1024593.cif,307,N/A,0.002
1223250.cif,212,N/A,0.002
1222166.cif,206,N/A,0.002
538335.cif,212,N/A,0.002
1007362.cif,175,N/A,0.002
1008051.cif,228,N/A,0.002
1229755.cif,199,N/A,0.002
1246392.cif,332,N/A,0.002
300397.cif,212,N/A,0.001
539981.cif,296,N/A,0.002
1810060.cif,495,N/A,0.002
1008723.cif,296,N/A,0.002
300383.cif,212,N/A,0.002
1633288.cif,446,N/A,0.003
1228339.cif,212,N/A,0.002
1122874.cif,212,N/A,0.002
1148313.cif,234,N/A,0.002
1951996.cif,206,N/A,0.002
1822039.cif,323,N/A,0.002
1245102.cif,175,N/A,0.002
1406274.cif,296,N/A,0.002
301710.cif,326,N/A,0.002
1412567.cif,331,N/A,0.002
1200338.cif,456,N/A,0.002
1803791.cif,284,N/A,0.002
315003.cif,212,N/A,0.001
1833652.cif,233,N/A,0.001
381110.cif,267,N/A,0.002
546172.cif,212,N/A,0.001
1907291.cif,183,N/A,0.001
315017.cif,212,N/A,0.001
1833646.cif,233,N/A,0.002
1010193.cif,296,N/A,0.002
1635606.cif,386,N/A,0.002
548639.cif,212,N/A,0.002
1406260.cif,261,N/A,0.002
540265.cif,270,N/A,0.002
1937434.cif,414,N/A,0.002
