Entry,Compound,Shortest distance,Filtered,Number of atoms
1928666,EuGe,2.91401,Yes,148
1010020,NiGa,2.49414,Yes,62
1010022,NiSb,2.56,Yes,98
453819,RhSi,2.37274,Yes,152
453820,RhSi,2.38218,Yes,120
