Entry,Compound,Shortest distance,Filtered,Number of atoms
1538430,Ni3In,6e-05,Yes,313
1406284,Pt3Sb2,2.57938,No,314
261014,CoSb,2.588,No,98
1252465,RuIn3,2.66653,No,266
1833891,Pd1.778Sn,2.54753,No,189
528854,Pd0.84Ge0.16,2.71671,No,60
261969,Pt0.9Ga0.1,2.7662,No,120
1834085,Fe0.73Ga0.27,2.54611,No,60
1021584,NiSi2,2.34242,No,278
1253182,Ni1.50Sn,0.21582,Yes,430
1630188,NixGa,2.47631,No,240
456583,FeGe2,2.4775,No,250
1230419,FeSi,2.41767,No,62
1929956,Co5Ge7,2.37309,No,390
1237362,PtSb2,2.66901,No,180
1926330,NiSi,2.27216,No,152
1400018,PtSb2,2.67142,No,180
458223,Ni3Ge,2.52154,No,113
1210722,PdIn,2.81327,No,62
1922142,Co1.5Sn,2.36711,No,189
1042786,PdSn2,2.77476,No,360
1248561,NiSi2,2.34865,No,278
1815249,CoSb,2.5895,No,98
535226,Rh2Sb,2.58196,No,228
1819301,Pt0.94Sb0.06,2.79066,No,120
250801,PdSb,2.73732,No,98
1804393,Ru2Si,2.42857,No,228
1837981,Ni3Sn4,2.53543,No,210
251538,RhSn2,2.7917,No,250
1605494,NiSi,2.23076,No,62
1250892,Ru2Sn3,2.58915,No,376
1943782,Co3Sb2,2.32574,No,97
456756,FeGe2,2.479,No,250
531901,Pt5.33Ga2.67,2.50603,No,358
456757,FeSi,2.28394,No,120
1120300,RuGe,2.46311,No,120
458008,FeSb2,2.57994,No,90
1605495,NiSi,2.06087,No,120
1957906,Fe0.95Si0.05,2.32628,No,136
534844,PdGa5,2.50075,No,486
1834523,FeSn,2.64749,No,163
250800,PdSb2,2.57258,No,180
1611437,RuGe,2.46678,No,120
1013047,Fe2Ge3,2.34142,No,376
1951185,FeSi,2.28175,No,120
1248560,NiSi,2.21319,No,152
1210723,Pd2In3,2.74812,No,127
531280,Ni1.88Ge,2.27127,No,189
457677,CoIn3,2.59249,No,270
1907466,PdIn,2.81371,No,62
1200295,FeSb,2.584,No,98
1931842,Pd3In,2.77462,No,196
261149,FeSn2,2.6475,No,250
1301772,Ni3Sn,5e-05,Yes,313
1250501,Ni3Sn2,2.45232,No,348
532831,NiSi2,2.33133,No,278
1932556,Fe0.81Ga0.19,2.51753,No,60
452690,PdSb2,2.67008,No,180
261767,Ni3Ge,2.56467,No,113
1406285,PtSb,2.7415,No,98
532170,Ni3In,2.66013,No,113
1042618,CoSi,2.29456,No,120
1832581,CoSi,2.3729,No,62
1301570,Pt0.915Sn0.085,2.79095,No,120
1534784,Pt1.02Ga1.99,2.5649,No,466
1250717,Co0.875Ge2,2.44487,No,416
1822221,NiIn,2.62179,No,163
1250071,Pt5Ga3,2.58823,No,333
451602,PtSi,2.40993,No,152
1802683,Pd3Si,2.24421,No,272
1635378,FeSb2,2.49421,No,90
1635393,FeSb2,2.53615,No,250
261217,NiGe,2.32945,No,152
262078,IrSi3,1.97489,No,192
1142340,Ni3Sn4,2.52329,No,210
250960,PtSn,2.72025,No,98
1635387,FeSb2,2.38684,No,250
454975,Fe3Ge,5e-05,Yes,313
1934480,CoGa3,2.36151,No,270
1823856,Co3Sn2,2.4355,No,348
